threshold,accuracy,precision,recall,f1
0.39,0.28388375165125496,0.05576055760557606,0.870201096892139,0.10480541641437771
0.4,0.3059004843681198,0.05653304311022432,0.8546617915904936,0.10605115408608859
0.41000000000000003,0.32769704975781594,0.057394454159380465,0.840036563071298,0.107447679176897
0.42000000000000004,0.34931748128577716,0.05864137797561448,0.8308957952468007,0.10955106959927688
0.43,0.37181858212241303,0.058992902102584704,0.8053016453382084,0.10993261791864238
0.44,0.39784236019374725,0.060135654849311236,0.7861060329067642,0.11172458590451445
0.45,0.4207837956847204,0.061454545454545456,0.7723948811700183,0.11385071409323633
0.46,0.4450462351387054,0.062362156818008975,0.7495429616087751,0.11514428140139016
0.47000000000000003,0.4727873183619551,0.06319762306271581,0.7193784277879341,0.1161880859230826
0.48000000000000004,0.4993835314839278,0.06421240139112733,0.6919561243144424,0.11751921136381278
0.49,0.5266402465874064,0.06520172910662825,0.6617915904936015,0.11870798491555994
0.5,0.5524878907970058,0.0663670268719518,0.6343692870201096,0.12016275647130116
0.51,0.5808894760017613,0.06870776162195372,0.613345521023766,0.12357274401473296
0.52,0.6088947600176133,0.06943830163644406,0.5740402193784278,0.12389031367133559
0.53,0.6377366798767063,0.06900302114803625,0.5219378427787934,0.12189134379336108
0.54,0.6685601056803171,0.07084723148765844,0.4853747714808044,0.12364652462451975
0.55,0.6954205195948922,0.07240417095021295,0.4506398537477148,0.12476274832342148
0.56,0.7236459709379128,0.07272427440633246,0.4031078610603291,0.12321877619446775
0.5700000000000001,0.7490973139586086,0.07291280148423006,0.3592321755027422,0.12122146822948797
0.5800000000000001,0.7759577278731836,0.07237687366167024,0.30895795246800734,0.11727966689798752
0.59,0.7966974900924703,0.07088915956151036,0.2659963436928702,0.11194460473167916
0.6,0.8184940554821665,0.06742857142857143,0.21572212065813529,0.10274270787984328
0.61,0.8379128137384412,0.06579389056730446,0.17915904936014626,0.09624355511907685
0.62,0.8572435050638485,0.06798069187449718,0.15447897623400367,0.09441340782122905
0.63,0.873139586085425,0.06520681265206812,0.12248628884826325,0.08510638297872342
0.64,0.8863936591809776,0.06396713615023474,0.09963436928702012,0.07791279485346676
0.65,0.9,0.061148396718866516,0.07495429616087751,0.06735112936344968
0.66,0.9109643328929987,0.05384615384615385,0.051188299817184646,0.05248359887535145
0.67,0.9214002642007926,0.05648267008985879,0.04021937842778794,0.04698344901227977
0.68,0.9294143549097313,0.04634581105169341,0.02376599634369287,0.03141993957703928
0.6900000000000001,0.9360193747247908,0.04556962025316456,0.016453382084095063,0.024177300201477504
0.7000000000000001,0.9405107881990312,0.03272727272727273,0.008226691042047532,0.013148283418553687
0.7100000000000001,0.9446939674152356,0.03977272727272727,0.006398537477148081,0.011023622047244094
0.72,0.9468516072214883,0.017094017094017096,0.0018281535648994515,0.0033030553261767133
0.73,0.9494495816820784,0.017857142857142856,0.0009140767824497258,0.0017391304347826085
0.74,0.9505063848524878,0.0,0.0,0.0
0.75,0.9514310876265962,0.0,0.0,0.0
0.76,0.9515191545574637,0.0,0.0,0.0
0.77,0.9516072214883311,0.0,0.0,0.0
0.78,0.9517833553500661,0.0,0.0,0.0
0.79,0.9517833553500661,0.0,0.0,0.0
0.8,0.9518273888154998,0.0,0.0,0.0
0.81,0.9518273888154998,0.0,0.0,0.0
0.8200000000000001,0.9518273888154998,0.0,0.0,0.0
0.8300000000000001,0.9518273888154998,0.0,0.0,0.0
